topic,crops,parameter,fact_type,statement,value,min_value,max_value,unit,condition,action,evidence_quote,confidence,source_file,source_name,page_start,page_end,section,chunk_id,relevance_score,provenance,knowledge_text,fact_id
manure_storage,,poultry manure nitrogen loss,other_agronomic_fact,"Poultry manure, with its high amount of ammonium, may lose 50% of its nitrogen during storage as ammonia gas volatilizes, unless precautions are taken to conserve nitrogen.",50.0,,,%,"poultry manure storage, unless precautions taken",None,"Poultry manure, with its high amount of ammonium, may lose 50% of its nitrogen during storage as ammonia gas volatilizes, unless precautions are taken to conserve nitrogen.",0.99,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,199,199,,6c092e2926996e8ef99e65a1f68948c0867d815a,0.625,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 199, ""page_end"": 199, ""chunk_id"": ""6c092e2926996e8ef99e65a1f68948c0867d815a"", ""evidence_quote"": ""Poultry manure, with its high amount of ammonium, may lose 50% of its nitrogen during storage as ammonia gas volatilizes, unless precautions are taken to conserve nitrogen.""}]","Parameter: poultry manure nitrogen loss
Fact: Poultry manure, with its high amount of ammonium, may lose 50% of its nitrogen during storage as ammonia gas volatilizes, unless precautions are taken to conserve nitrogen.
Explicit value: 50 %
Condition: poultry manure storage, unless precautions taken
Recommended action: None",ae4e8118b74e8080b516e9a6fa7946e6a7117347
measurement_and_sensors,,body length measurement,measurement,The distance from the fingers to the chin is about 1 m.,1.0,,,m,distance from fingers to chin,None,The distance from the fingers to the chin is about 1 m,0.99,/content/drive/MyDrive/Agronomy_Data_Source/CassavaGuide_A5_colour_lowres.pdf,CassavaGuide_A5_colour_lowres.pdf,26,26,,4ce0f52b78b5828e6af17f8fcf491ed1313226a0,0.4794,"[{""source_name"": ""CassavaGuide_A5_colour_lowres.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/CassavaGuide_A5_colour_lowres.pdf"", ""page_start"": 26, ""page_end"": 26, ""chunk_id"": ""4ce0f52b78b5828e6af17f8fcf491ed1313226a0"", ""evidence_quote"": ""The distance from the fingers to the chin is about 1 m""}]","Parameter: body length measurement
Fact: The distance from the fingers to the chin is about 1 m.
Explicit value: 1 m
Condition: distance from fingers to chin
Recommended action: None",8d878b9c3eaf1b47a500f77bbf2f5ad7367391e2
measurement_and_sensors,,body length measurement,measurement,The distance from thumb to middle finger is about 20 cm.,20.0,,,cm,distance from thumb to middle finger,None,The distance from thumb to middle finger is about 20 cm,0.99,/content/drive/MyDrive/Agronomy_Data_Source/CassavaGuide_A5_colour_lowres.pdf,CassavaGuide_A5_colour_lowres.pdf,26,26,,4ce0f52b78b5828e6af17f8fcf491ed1313226a0,0.4794,"[{""source_name"": ""CassavaGuide_A5_colour_lowres.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/CassavaGuide_A5_colour_lowres.pdf"", ""page_start"": 26, ""page_end"": 26, ""chunk_id"": ""4ce0f52b78b5828e6af17f8fcf491ed1313226a0"", ""evidence_quote"": ""The distance from thumb to middle finger is about 20 cm""}]","Parameter: body length measurement
Fact: The distance from thumb to middle finger is about 20 cm.
Explicit value: 20 cm
Condition: distance from thumb to middle finger
Recommended action: None",946fb1c4ef4e20263930b706ae282aa909463339
measurement_and_sensors,,ece,definition,ECe is defined as the electrical conductivity of the saturation extract of the soil.,,,,dS m-1,None,None,ECe electrical conductivity of the saturation extract of the soil [dS m-1],1.0,/content/drive/MyDrive/Agronomy_Data_Source/Fao56.pdf,Fao56.pdf,22,22,,3e19821d4744eeb660ab0a39c537725ddfa14fd6,0.6577,"[{""source_name"": ""Fao56.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Fao56.pdf"", ""page_start"": 22, ""page_end"": 22, ""chunk_id"": ""3e19821d4744eeb660ab0a39c537725ddfa14fd6"", ""evidence_quote"": ""ECe electrical conductivity of the saturation extract of the soil [dS m-1]""}]","Parameter: ece
Fact: ECe is defined as the electrical conductivity of the saturation extract of the soil.
Condition: None
Recommended action: None",d42422e9ec9848725ade04fbda15e33b24a00635
measurement_and_sensors,,ece threshold,definition,"ECe, threshold is defined as the electrical conductivity of the saturation extract of the soil above which yield begins to decrease.",,,,dS m-1,None,None,"ECe, threshold electrical conductivity of the saturation extract of the soil above which yield begins to decrease [dS m-1]",1.0,/content/drive/MyDrive/Agronomy_Data_Source/Fao56.pdf,Fao56.pdf,22,22,,3e19821d4744eeb660ab0a39c537725ddfa14fd6,0.6577,"[{""source_name"": ""Fao56.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Fao56.pdf"", ""page_start"": 22, ""page_end"": 22, ""chunk_id"": ""3e19821d4744eeb660ab0a39c537725ddfa14fd6"", ""evidence_quote"": ""ECe, threshold electrical conductivity of the saturation extract of the soil above which yield begins to decrease [dS m-1]""}]","Parameter: ece threshold
Fact: ECe, threshold is defined as the electrical conductivity of the saturation extract of the soil above which yield begins to decrease.
Condition: None
Recommended action: None",344260730c29798a53e50a2bdc4f617baa764409
measurement_and_sensors,,organic matter measurement method,measurement,A soil with 3% organic matter by wet chemistry might have a weight-loss value of between 4% and 5%.,,4.0,5.0,%,soil with 3% organic matter by wet chemistry,None,A soil with 3% organic matter by wet chemistry might have a weight-loss value of between 4% and 5%.,1.0,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,342,342,,1e3f8d39ff1d99b4435d782957404cfdb2b9d32f,0.7365,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 342, ""page_end"": 342, ""chunk_id"": ""1e3f8d39ff1d99b4435d782957404cfdb2b9d32f"", ""evidence_quote"": ""A soil with 3% organic matter by wet chemistry might have a weight-loss value of between 4% and 5%.""}]","Parameter: organic matter measurement method
Fact: A soil with 3% organic matter by wet chemistry might have a weight-loss value of between 4% and 5%.
Explicit range: 4 to 5 %
Condition: soil with 3% organic matter by wet chemistry
Recommended action: None",e0941528816a2a6ad669be477ea889c9329ddd1f
measurement_and_sensors,,organic matter measurement method,measurement,"If a laboratory reports organic matter as weight loss at high temperature, the numbers may be higher than if the lab uses the original wet chemistry method.",,,,None,laboratory reports organic matter as weight loss at high temperature,None,"If your laboratory reports organic matter as “weight loss” at high temperature, the numbers may be higher than if the lab uses the original wet chemistry method.",1.0,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,342,342,,1e3f8d39ff1d99b4435d782957404cfdb2b9d32f,0.7365,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 342, ""page_end"": 342, ""chunk_id"": ""1e3f8d39ff1d99b4435d782957404cfdb2b9d32f"", ""evidence_quote"": ""If your laboratory reports organic matter as “weight loss” at high temperature, the numbers may be higher than if the lab uses the original wet chemistry method.""}]","Parameter: organic matter measurement method
Fact: If a laboratory reports organic matter as weight loss at high temperature, the numbers may be higher than if the lab uses the original wet chemistry method.
Condition: laboratory reports organic matter as weight loss at high temperature
Recommended action: None",5d486403402eb276147ec474824dd61d70347d7f
measurement_and_sensors,,soda bottle top fertilizer capacity,measurement,A soda bottle top can hold up to about 6 g of fertilizer.,6.0,,,g,soda bottle top,None,A soda bottle top can hold up to about 6 g of fertilizer.,0.98,/content/drive/MyDrive/Agronomy_Data_Source/CassavaGuide_A5_colour_lowres.pdf,CassavaGuide_A5_colour_lowres.pdf,41,41,,4d79c498a8aa0cf18f08d7b2373dd892801de044,0.5577,"[{""source_name"": ""CassavaGuide_A5_colour_lowres.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/CassavaGuide_A5_colour_lowres.pdf"", ""page_start"": 41, ""page_end"": 41, ""chunk_id"": ""4d79c498a8aa0cf18f08d7b2373dd892801de044"", ""evidence_quote"": ""A soda bottle top can hold up to about 6 g of fertilizer.""}]","Parameter: soda bottle top fertilizer capacity
Fact: A soda bottle top can hold up to about 6 g of fertilizer.
Explicit value: 6 g
Condition: soda bottle top
Recommended action: None",0ca5cba003559e7445b86fff2f274d6de0bb24c1
measurement_and_sensors,,soil optical reflectance,cause_effect,Soil optical reflectance is influenced by chemical bonds like O-H (abundant in clay minerals) and C-H (abundant in organic matter).,,,,None,None,None,"which is influenced by chemical bonds like O-H (abundant in clay minerals), C-H (abundant in organic matter), etc.",0.98,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,385,385,,192aa96433bc8f04263febeb013fec1bf9ccb784,0.6133,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 385, ""page_end"": 385, ""chunk_id"": ""192aa96433bc8f04263febeb013fec1bf9ccb784"", ""evidence_quote"": ""which is influenced by chemical bonds like O-H (abundant in clay minerals), C-H (abundant in organic matter), etc.""}]","Parameter: soil optical reflectance
Fact: Soil optical reflectance is influenced by chemical bonds like O-H (abundant in clay minerals) and C-H (abundant in organic matter).
Condition: None
Recommended action: None",76b620ed6662df25bb5cf39b210ce2c41fa4836a
measurement_and_sensors,,visible near-infrared and mid-infrared reflectance spectroscopy,measurement,Visible near-infrared and mid-infrared reflectance spectroscopy methods are non-destructive approaches that measure the optical reflectance properties of soil.,,,,None,None,None,"Visible near-infrared and mid-infrared reflectance spectroscopy methods are non-destructive approaches that measure the optical reflectance properties of soil, which is influenced by chemical bonds like O-H (abundant in clay minerals), C-H (abundant in organic matter), etc.",0.98,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,385,385,,192aa96433bc8f04263febeb013fec1bf9ccb784,0.6133,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 385, ""page_end"": 385, ""chunk_id"": ""192aa96433bc8f04263febeb013fec1bf9ccb784"", ""evidence_quote"": ""Visible near-infrared and mid-infrared reflectance spectroscopy methods are non-destructive approaches that measure the optical reflectance properties of soil, which is influenced by chemical bonds like O-H (abundant in clay minerals), C-H (abundant in organic matter), etc.""}]","Parameter: visible near-infrared and mid-infrared reflectance spectroscopy
Fact: Visible near-infrared and mid-infrared reflectance spectroscopy methods are non-destructive approaches that measure the optical reflectance properties of soil.
Condition: None
Recommended action: None",4e9d61c2ef7fff3e951dbfef818612b7aa3c5c1e
measurement_and_sensors,,water bottle top fertilizer capacity,measurement,The top of a water bottle can hold up to about 8 g of fertilizer.,8.0,,,g,water bottle top,None,The top of a water bottle can hold up to about 8 g of fertilizer.,0.98,/content/drive/MyDrive/Agronomy_Data_Source/CassavaGuide_A5_colour_lowres.pdf,CassavaGuide_A5_colour_lowres.pdf,41,41,,4d79c498a8aa0cf18f08d7b2373dd892801de044,0.5577,"[{""source_name"": ""CassavaGuide_A5_colour_lowres.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/CassavaGuide_A5_colour_lowres.pdf"", ""page_start"": 41, ""page_end"": 41, ""chunk_id"": ""4d79c498a8aa0cf18f08d7b2373dd892801de044"", ""evidence_quote"": ""The top of a water bottle can hold up to about 8 g of fertilizer.""}]","Parameter: water bottle top fertilizer capacity
Fact: The top of a water bottle can hold up to about 8 g of fertilizer.
Explicit value: 8 g
Condition: water bottle top
Recommended action: None",e7ff8b84ca98a04c0c6aa5fafd3d88d92a1c3c0f
micronutrients,cassava,yield threshold for suspecting micronutrient deficiency,threshold,"If cassava yield remains below 16 tonnes per hectare in a good rainfall year after following N, P and K application tips, the problem might be micronutrient deficiencies.",16.0,,,tonnes per hectare,"good rainfall year, after following N, P and K application tips",None,"If you have followed all the tips offered on nutrient application of N, P and K in this handbook and your cassava yield remains below 16 tonnes per hectare in a good rainfall year, the problem might be micronutrient deficiencies.",0.98,/content/drive/MyDrive/Agronomy_Data_Source/CassavaGuide_A5_colour_lowres.pdf,CassavaGuide_A5_colour_lowres.pdf,50,50,,64eb9c3d999e971d7258855ebb7ffae90b4b1ddd,0.6197,"[{""source_name"": ""CassavaGuide_A5_colour_lowres.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/CassavaGuide_A5_colour_lowres.pdf"", ""page_start"": 50, ""page_end"": 50, ""chunk_id"": ""64eb9c3d999e971d7258855ebb7ffae90b4b1ddd"", ""evidence_quote"": ""If you have followed all the tips offered on nutrient application of N, P and K in this handbook and your cassava yield remains below 16 tonnes per hectare in a good rainfall year, the problem might be micronutrient deficiencies.""}]","Crop: cassava
Parameter: yield threshold for suspecting micronutrient deficiency
Fact: If cassava yield remains below 16 tonnes per hectare in a good rainfall year after following N, P and K application tips, the problem might be micronutrient deficiencies.
Explicit value: 16 tonnes per hectare
Condition: good rainfall year, after following N, P and K application tips
Recommended action: None",94f1cb1b5cd00e4a60b1b1fbe3608fd071dd2bc5
micronutrients,cassava,zinc deficiency symptoms,deficiency,Zinc deficiency in young cassava plants can show symptoms of yellow or white spots between veins.,,,,None,young cassava plants,None,"For example, zinc deficiency, whose symptoms are yellow or white spots between veins, can sometimes be observed in young cassava plants.",0.98,/content/drive/MyDrive/Agronomy_Data_Source/CassavaGuide_A5_colour_lowres.pdf,CassavaGuide_A5_colour_lowres.pdf,50,50,,64eb9c3d999e971d7258855ebb7ffae90b4b1ddd,0.6197,"[{""source_name"": ""CassavaGuide_A5_colour_lowres.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/CassavaGuide_A5_colour_lowres.pdf"", ""page_start"": 50, ""page_end"": 50, ""chunk_id"": ""64eb9c3d999e971d7258855ebb7ffae90b4b1ddd"", ""evidence_quote"": ""For example, zinc deficiency, whose symptoms are yellow or white spots between veins, can sometimes be observed in young cassava plants.""}]","Crop: cassava
Parameter: zinc deficiency symptoms
Fact: Zinc deficiency in young cassava plants can show symptoms of yellow or white spots between veins.
Condition: young cassava plants
Recommended action: None",7e06181b3975178a3b0e2301248853463951e1c3
nitrogen,,additional nitrogen required for carbon storage,requirement,Every ton of new carbon stored in the soil requires about 200 pounds of additional nitrogen.,200.0,,,pounds per ton of carbon,building organic matter in depleted soils,None,every ton of new carbon stored in the soil requires about 200 pounds of additional nitrogen and 30 pounds of phosphorus,0.99,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,298,298,,89a00b1e1d777cce96f77318478fa116ca658328,0.6862,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 298, ""page_end"": 298, ""chunk_id"": ""89a00b1e1d777cce96f77318478fa116ca658328"", ""evidence_quote"": ""every ton of new carbon stored in the soil requires about 200 pounds of additional nitrogen and 30 pounds of phosphorus""}]","Parameter: additional nitrogen required for carbon storage
Fact: Every ton of new carbon stored in the soil requires about 200 pounds of additional nitrogen.
Explicit value: 200 pounds per ton of carbon
Condition: building organic matter in depleted soils
Recommended action: None",244bf387d2ac1518e4b64dbe200deb18c7d5d48b
nitrogen,,anhydrous ammonia n content,other_agronomic_fact,Anhydrous ammonia contains 82% nitrogen.,82.0,,,%,Anhydrous ammonia fertilizer,None,Anhydrous ammonia | 82,0.95,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,297,297,,9bf727bf713f99bc1e352160347af2b581b79bf4,0.7434,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 297, ""page_end"": 297, ""chunk_id"": ""9bf727bf713f99bc1e352160347af2b581b79bf4"", ""evidence_quote"": ""Anhydrous ammonia | 82""}]","Parameter: anhydrous ammonia n content
Fact: Anhydrous ammonia contains 82% nitrogen.
Explicit value: 82 %
Condition: Anhydrous ammonia fertilizer
Recommended action: None",16e49a6822453fdf5f0acc595a1c69f89e750caf
nitrogen,,c:n ratio,threshold,Mature plant stalks and sawdust with a C:N ratio over 40:1 may cause temporary problems for plants.,40.0,,,None,C:N ratio over 40:1,None,Mature plant stalks and sawdust that have a C:N ratio over 40:1 (Table 9.4) may cause temporary problems for plants.,0.98,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,140,140,,e31fdb817a8dcadc26c4ec772c71d57f1a7f8464,0.6326,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 140, ""page_end"": 140, ""chunk_id"": ""e31fdb817a8dcadc26c4ec772c71d57f1a7f8464"", ""evidence_quote"": ""Mature plant stalks and sawdust that have a C:N ratio over 40:1 (Table 9.4) may cause temporary problems for plants.""}]","Parameter: c:n ratio
Fact: Mature plant stalks and sawdust with a C:N ratio over 40:1 may cause temporary problems for plants.
Explicit value: 40 None
Condition: C:N ratio over 40:1
Recommended action: None",4ebefe211c14e1e3ae1d956f35e79742f09ae2f4
nitrogen,,c:n ratio,threshold,Old straw from crop plants has a C:N ratio between 50:1 and 80:1.,,50.0,80.0,:1,old straw of crop plants,None,to between 50:1 and 80:1 for the old straw of crop plants,0.98,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,139,139,,494006760b550ffe252f4ccec1f02d734df2a1e5,0.7151,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 139, ""page_end"": 139, ""chunk_id"": ""494006760b550ffe252f4ccec1f02d734df2a1e5"", ""evidence_quote"": ""to between 50:1 and 80:1 for the old straw of crop plants""}]","Parameter: c:n ratio
Fact: Old straw from crop plants has a C:N ratio between 50:1 and 80:1.
Explicit range: 50 to 80 :1
Condition: old straw of crop plants
Recommended action: None",3ab1fdd6d1abe70816b2852a2785df829c22b856
nitrogen,,c:n ratio,threshold,Sawdust and wood chips have a C:N ratio over 100:1.,100.0,,,:1,sawdust and wood chips,None,to over 100:1 for sawdust and wood chips,0.98,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,139,139,,494006760b550ffe252f4ccec1f02d734df2a1e5,0.7151,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 139, ""page_end"": 139, ""chunk_id"": ""494006760b550ffe252f4ccec1f02d734df2a1e5"", ""evidence_quote"": ""to over 100:1 for sawdust and wood chips""}]","Parameter: c:n ratio
Fact: Sawdust and wood chips have a C:N ratio over 100:1.
Explicit value: 100 :1
Condition: sawdust and wood chips
Recommended action: None",93526c7961e6326f0764314935d97994d75e2503
nitrogen,,c:n ratio,definition,Soil organic matter C:N ratio is usually 10:1 to 12:1.,,10.0,12.0,:1,soil organic matter,None,the C:N ratio of soil organic matter is usually in the range of about 10:1–12:1,0.98,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,139,139,,494006760b550ffe252f4ccec1f02d734df2a1e5,0.7151,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 139, ""page_end"": 139, ""chunk_id"": ""494006760b550ffe252f4ccec1f02d734df2a1e5"", ""evidence_quote"": ""the C:N ratio of soil organic matter is usually in the range of about 10:1–12:1""}]","Parameter: c:n ratio
Fact: Soil organic matter C:N ratio is usually 10:1 to 12:1.
Explicit range: 10 to 12 :1
Condition: soil organic matter
Recommended action: None",54a33a45835cbf1f201737af930fd95ac66ff0d5
nitrogen,,c:n ratio,definition,Young plants have a C:N ratio of around 15:1.,15.0,,,:1,young plants,None,may vary from around 15:1 for young plants,0.98,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,139,139,,494006760b550ffe252f4ccec1f02d734df2a1e5,0.7151,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 139, ""page_end"": 139, ""chunk_id"": ""494006760b550ffe252f4ccec1f02d734df2a1e5"", ""evidence_quote"": ""may vary from around 15:1 for young plants""}]","Parameter: c:n ratio
Fact: Young plants have a C:N ratio of around 15:1.
Explicit value: 15 :1
Condition: young plants
Recommended action: None",de2f6d83dce9052de2642ad43dc7c7a471bc77ef
nitrogen,,c:n ratio of residues,threshold,"Residues with C:N in the mid 20s to low 30s, corresponding to about 1–2% nitrogen, will not have much effect on short-term nitrogen immobilization or release.",,,,None,C:N in the mid 20s to low 30s,None,"Residues with C:N in the mid 20s to low 30s, corresponding to about 1–2% nitrogen, will not have much effect on short-term nitrogen immobilization or release.",0.0,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,141,141,,913dfb591febf9fb4b06519046024104c6b32844,0.6704,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 141, ""page_end"": 141, ""chunk_id"": ""913dfb591febf9fb4b06519046024104c6b32844"", ""evidence_quote"": ""Residues with C:N in the mid 20s to low 30s, corresponding to about 1–2% nitrogen, will not have much effect on short-term nitrogen immobilization or release.""}]","Parameter: c:n ratio of residues
Fact: Residues with C:N in the mid 20s to low 30s, corresponding to about 1–2% nitrogen, will not have much effect on short-term nitrogen immobilization or release.
Condition: C:N in the mid 20s to low 30s
Recommended action: None",612898ff3db3ec3356f94840b12d39136f57d328
nitrogen,,c:n ratio of residues,threshold,"Residues with a C:N ratio in the teens or low 20s, corresponding to greater than 2% nitrogen, have more nitrogen present than microorganisms need for residue decomposition, making extra nitrogen available to plants fairly quickly.",,,,None,C:N ratio in the teens or low 20s,None,"If the C:N ratio of residues is in the teens or low 20s, corresponding to greater than 2% nitrogen, there is more nitrogen present than the microorganisms need for residue decomposition.",0.98,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,141,141,,913dfb591febf9fb4b06519046024104c6b32844,0.6704,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 141, ""page_end"": 141, ""chunk_id"": ""913dfb591febf9fb4b06519046024104c6b32844"", ""evidence_quote"": ""If the C:N ratio of residues is in the teens or low 20s, corresponding to greater than 2% nitrogen, there is more nitrogen present than the microorganisms need for residue decomposition.""}]","Parameter: c:n ratio of residues
Fact: Residues with a C:N ratio in the teens or low 20s, corresponding to greater than 2% nitrogen, have more nitrogen present than microorganisms need for residue decomposition, making extra nitrogen available to plants fairly quickly.
Condition: C:N ratio in the teens or low 20s
Recommended action: None",b4e460284be8bb556fe3022e57c3bd6ad0b08e95
nitrogen,,controlled release fertilizer,definition,"A third type of product, similar to nitrification inhibitors, focuses on controlled release by using a coating on fertilizer material that causes it to slowly dissolve and release the nitrogen fertilizer.",,,,None,None,None,"A third type of product, similar to nitrification inhibitors, focuses on controlled release by using a coating on fertilizer material that causes it to slowly dissolve and release the nitrogen fertilizer.",0.99,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,317,317,,1b2045125839c127e78e498315f3ef6b295fff01,0.6595,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 317, ""page_end"": 317, ""chunk_id"": ""1b2045125839c127e78e498315f3ef6b295fff01"", ""evidence_quote"": ""A third type of product, similar to nitrification inhibitors, focuses on controlled release by using a coating on fertilizer material that causes it to slowly dissolve and release the nitrogen fertilizer.""}]","Parameter: controlled release fertilizer
Fact: A third type of product, similar to nitrification inhibitors, focuses on controlled release by using a coating on fertilizer material that causes it to slowly dissolve and release the nitrogen fertilizer.
Condition: None
Recommended action: None",996c98cbcf3f5ab3806f079c91173b4f94c1566a
nitrogen,,cover crop total n,other_agronomic_fact,A cover crop with 1.5% N in dry matter provides 30 pounds N per ton and 10 pounds estimated available N per acre.,,,,None,1.5% N in dry matter,None,1.5 | 30 | 10,0.99,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,165,165,,dc627e4dd4dc86a99c1b73ede4947983df992232,0.5974,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 165, ""page_end"": 165, ""chunk_id"": ""dc627e4dd4dc86a99c1b73ede4947983df992232"", ""evidence_quote"": ""1.5 | 30 | 10""}, {""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 165, ""page_end"": 165, ""chunk_id"": ""dc627e4dd4dc86a99c1b73ede4947983df992232"", ""evidence_quote"": ""1 | 20 | 0""}]","Parameter: cover crop total n
Fact: A cover crop with 1.5% N in dry matter provides 30 pounds N per ton and 10 pounds estimated available N per acre.
Condition: 1.5% N in dry matter
Recommended action: None",980c6043eef3589e1ad246a14ea7cabc70f046f6
nitrogen,,crop nitrogen from mineralized organic matter,acceptable_range,"Depending on soil organic matter levels, a typical crop may derive 20-50% of its nitrogen from mineralized organic matter.",,20.0,50.0,%,soil organic matter levels,None,"Depending on the soil organic matter levels, a typical crop may derive 20–50% of its nitrogen from mineralized organic matter.",0.98,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,42,42,,8f532e0ca75dcb611e7a5c57763f1286d998a2be,0.7041,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 42, ""page_end"": 42, ""chunk_id"": ""8f532e0ca75dcb611e7a5c57763f1286d998a2be"", ""evidence_quote"": ""Depending on the soil organic matter levels, a typical crop may derive 20–50% of its nitrogen from mineralized organic matter.""}]","Parameter: crop nitrogen from mineralized organic matter
Fact: Depending on soil organic matter levels, a typical crop may derive 20-50% of its nitrogen from mineralized organic matter.
Explicit range: 20 to 50 %
Condition: soil organic matter levels
Recommended action: None",550a70eadae374e07fa32baafdeb2151709561c0
